timestamp,impurity_ppm,saturation_pct,ph,status
2026-05-14T22:00:00Z,11.8,80.4,7.10,nominal
2026-05-14T22:30:00Z,12.4,80.1,7.12,nominal
2026-05-14T23:00:00Z,13.1,79.8,7.14,nominal
2026-05-14T23:30:00Z,13.8,79.5,7.16,nominal
2026-05-15T00:00:00Z,14.2,79.2,7.18,nominal
2026-05-15T00:30:00Z,14.9,78.8,7.20,nominal
2026-05-15T01:00:00Z,15.6,78.5,7.22,nominal
2026-05-15T01:30:00Z,16.4,78.1,7.25,nominal
2026-05-15T02:00:00Z,17.2,77.8,7.28,nominal
2026-05-15T02:30:00Z,17.9,77.4,7.30,nominal
2026-05-15T03:00:00Z,18.6,77.0,7.32,nominal
2026-05-15T03:30:00Z,19.4,76.6,7.34,nominal
2026-05-15T04:00:00Z,20.3,76.2,7.37,nominal
2026-05-15T04:30:00Z,21.5,75.7,7.39,nominal
2026-05-15T05:00:00Z,23.1,75.2,7.42,warning
2026-05-15T05:30:00Z,25.4,74.6,7.45,warning
2026-05-15T06:00:00Z,28.7,73.9,7.49,warning
2026-05-15T06:30:00Z,38.2,73.1,7.58,critical
2026-05-15T06:35:00Z,37.8,73.0,7.49,warning
2026-05-15T06:36:00Z,37.5,72.9,7.41,warning
2026-05-15T07:00:00Z,34.6,72.5,7.36,warning
2026-05-15T07:30:00Z,30.8,72.0,7.32,nominal
2026-05-15T08:00:00Z,26.4,71.4,7.18,nominal
